project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
monica;2.4.0;2018-06-22T14:51:11+0200;2018-07-24T15:22:07+0200;33;52;15.758;458;14;0.024;8985;6213;2772;327;4;217;1298;166;2342;49;11;520;1.0;4;221;32;19;214;6855;;
monica;2.3.1;2018-06-14T07:22:46+0200;2018-06-22T14:51:11+0200;9;12;13.334;406;2;0.4445;2843;1589;1254;268;0;68;1232;8;2172;51;12;568;1.1;9;68;33;18;61;6359;;
monica;2.3.0;2018-05-31T03:12:54+0200;2018-06-14T07:22:46+0200;15;27;1.8;394;5;0.1116;4021;3164;857;181;0;67;1233;8;2168;51;12;568;1.1;9;67;33;17;60;6264;;
monica;2.2.0;2018-05-14T23:47:02+0200;2018-05-31T03:12:54+0200;17;42;24.706;367;11;0.0368;2882;2622;260;105;0;62;1173;6;2123;51;12;565;1.2;8;62;32;16;55;6148;;
monica;2.1.1;2018-05-04T04:35:03+0200;2018-05-14T23:47:02+0200;11;35;31.819;325;7;0.0634;4133;2921;1212;141;0;56;1128;6;2043;51;12;565;1.2;7;56;29;14;49;5895;;
monica;2.1.0;2018-04-17T15:06:42+0200;2018-05-04T04:35:03+0200;17;44;25.883;290;7;0.0424;23460;13870;9590;264;0;54;1092;7;2008;51;12;565;1.2;7;54;26;14;47;5814;;
monica;2.0.1;2018-04-13T04:48:22+0200;2018-04-17T15:06:42+0200;5;19;3.8;246;5;0.079;19495;2517;16978;110;0;69;1011;6;1883;55;12;571;1.3;6;69;47;10;60;5495;;
monica;2.0.0;2018-03-21T03:20:54+0100;2018-04-13T04:48:22+0200;24;75;3.125;227;9;0.0254;50501;25029;25472;426;0;67;986;6;1857;54;12;566;1.3;6;67;45;10;58;5378;;
monica;1.8.2;2018-03-02T17:43:38+0100;2018-03-21T03:20:54+0100;19;40;21.053;152;8;0.0325;24546;14117;10429;203;0;63;911;4;1758;51;14;505;1.1;8;63;47;4;54;5169;;
monica;1.7.2;2018-02-26T19:41:58+0100;2018-03-02T17:43:38+0100;4;10;2.5;112;2;0.48;9016;5035;3981;42;0;149;978;8;1740;108;21;7042;15.8;22;149;62;57;142;5167;;
monica;1.7.1;2018-02-19T23:01:39+0100;2018-02-26T19:41:58+0100;7;17;24.286;102;3;0.1394;13649;8585;5064;173;0;151;987;9;1731;255;21;6337;14.5;22;151;63;57;144;5147;;
monica;1.7.0;2018-02-17T12:27:13+0100;2018-02-19T23:01:39+0100;3;6;2.0;85;2;0.2778;249;193;56;34;0;207;973;8;1675;354;21;6349;15.1;21;207;69;109;180;4939;;
